Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Day_Category
107,SWV-MAO-VLNK,SAWANTWADI ROAD,MADGOAN JN.,Saturday,Weekend
108,VLNK-MAO-SWV,MADGOAN JN.,SAWANTWADI ROAD,Friday,Weekday
128,MAO-KOP SPEC,MADGOAN JN.,CHHATRAPATI SHAHU MAHARAJ TERMINUS,Friday,Weekday
290,PALACE ON WH,DELHI-SAFDAR JANG,DELHI-SAFDAR JANG,Wednesday,Weekday
401,BSB BHARATDA,AURANGABAD,VARANASI JN.,Saturday,Weekend
421,LKO-SVDK FTR,LUCKNOW JN.,SHRI MATA VAISHNO DEVI KATRA,Tuesday,Weekday
422,SVDK-LKO FTR,SHRI MATA VAISHNO DEVI KATRA,LUCKNOW JN.,Monday,Weekday
477,FTR TRAIN NO,SIRSA,SIRSA,Sunday,Weekend
502,RJPB-UMB FTR,RAJENDRANAGAR TERMINAL,AMBALA CANTT JN,Monday,Weekday
504,PNBE-BTI FTR,PATNA JN.,BATHINDA JN,Wednesday,Weekday
506,PNBE-PTA FTR,PATNA JN.,PATIALA,Friday,Weekday
557,RSD-PJP BSF,URKURA,PANJIPARA,Wednesday,Weekday
22439,SVDK VANDEBHARAT,NEW DELHI,SHMATA VD KATRA,Friday,Weekday
604,PNBE-ASR FTR,PATNA JN.,AMRITSAR JN.,Thursday,Weekday
1011,CSMT-NGP SF,CST-MUMBAI,NAGPUR JN.(CR),Thursday,Weekday
1037,LTT-SWV SPL,LOKMANYA TILAK TERMINUS,SAWANTWADI ROAD,Tuesday,Weekday
1038,SWV-LTT SPL,SAWANTWADI ROAD,LOKMANYA TILAK TERMINUS,Tuesday,Weekday
1045,LTT-KRMI SPL,LOKMANYA TILAK TERMINUS,KARMALI,Thursday,Weekday
1119,AJNI-KRMI SP,AJNI,KARMALI,Monday,Weekday
1120,KRMI-AJNI SP,KARMALI,AJNI,Sunday,Weekend
1122,KRMI-CSMT SP,KARMALI,CST-MUMBAI,Friday,Weekday
1196,NGP-KRMI SPL,NAGPUR JN.(CR),KARMALI,Saturday,Weekend
1301,PUNE-MAJN WE,PUNE JN.,MANGALORE JN,Monday,Weekday
1302,MAJN-PUNE WE,MANGALORE JN,PUNE JN.,Tuesday,Weekday
1442,DSJ-KK MTY S,DELHI-SAFDAR JANG,KHADKI,Tuesday,Weekday
1655,PUNE-JBP SPL,PUNE JN.,JABALPUR,Wednesday,Weekday
1656,JBP-PUNE SPL,JABALPUR,PUNE JN.,Friday,Weekday
