Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days
1011,CSMT-NGP SF,CST-MUMBAI,NAGPUR JN.(CR),Thursday
2025,CSMT-KRMI SF,CST-MUMBAI,KARMALI,Tuesday
10103,MANDOVI EXPR,CST-MUMBAI,MADGOAN JN.,Thursday
10111,KONKAN KANYA,CST-MUMBAI,MADGOAN JN.,Friday
11007,DECCAN EXPRE,CST-MUMBAI,PUNE JN.,Wednesday
11009,SINHAGAD EXP,CST-MUMBAI,PUNE JN.,Thursday
11019,KONARK EXPRE,CST-MUMBAI,BHUBANESWAR,Friday
11023,SAHYADRI EXP,CST-MUMBAI,CHHATRAPATI SHAHU MAHARAJ TERMINUS,Wednesday
11027,CSMT-MAS MAI,CST-MUMBAI,CHENNAI CENTRAL,Sunday
11029,KOYNA EXPRES,CST-MUMBAI,CHHATRAPATI SHAHU MAHARAJ TERMINUS,Tuesday
11041,CSMT -MAS EX,CST-MUMBAI,CHENNAI CENTRAL,Tuesday
11057,AMRITSAR EXP,CST-MUMBAI,AMRITSAR JN.,Friday
11093,MAHANAGARI E,CST-MUMBAI,VARANASI JN.,Thursday
11301,UDYAN EXPRES,CST-MUMBAI,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),Wednesday
11401,NANDIGRHAM E,CST-MUMBAI,NAGPUR JN.(CR),Thursday
12105,VIDARBHA EXP,CST-MUMBAI,GONDIA JN.,Sunday
12109,PANCHAVATI E,CST-MUMBAI,MANMAD JN.,Saturday
12111,CSMT-AMI SF,CST-MUMBAI,AMRAVATI,Sunday
12115,CSTM-SUR SID,CST-MUMBAI,SOLAPUR,Saturday
12123,DECCAN QUEEN,CST-MUMBAI,PUNE JN.,Wednesday
12125,PRAGATI EXPR,CST-MUMBAI,PUNE JN.,Sunday
12127,INTERCITY EX,CST-MUMBAI,PUNE JN.,Monday
12133,CSMT-MAJN EX,CST-MUMBAI,MANGALORE JN,Saturday
12137,PUNJAB MAIL,CST-MUMBAI,FIROZPUR CANTT JN.,Sunday
12139,SEWAGRAM EXP,CST-MUMBAI,NAGPUR JN.(CR),Wednesday
12188,JBP GARIB RA,CST-MUMBAI,JABALPUR,Sunday
12261,CSMT-HWH DUR,CST-MUMBAI,HOWRAH JN.,Thursday
12289,CSMT-NGP DUR,CST-MUMBAI,NAGPUR JN.(CR),Thursday
12322,KOLKATA MAIL,CST-MUMBAI,HOWRAH JN.,Friday
12362,CSMT- ASANSO,CST-MUMBAI,ASANSOL MAIN,Wednesday
12534,PUSHPAK SF E,CST-MUMBAI,LUCKNOW JN.,Monday
12598,CSMT-GKP -WE,CST-MUMBAI,GORAKHPUR JN.,Friday
12701,CSMT-HYB HUS,CST-MUMBAI,HYDERABAD DECCAN,Saturday
12809,CSMT HWH MAI,CST-MUMBAI,HOWRAH JN.,Friday
12859,HWH-CSMT,CST-MUMBAI,HOWRAH JN.,Wednesday
12869,CSMT-HWH WEE,CST-MUMBAI,HOWRAH JN.,Monday
15102,JANSADHARN,CST-MUMBAI,CHHAPRA JN.,Sunday
16331,TRIVANDRAM,CST-MUMBAI,TRIVANDRUM CENTRAL,Sunday
16339,CSMT-NCJ  EX,CST-MUMBAI,NAGERCOIL JN.,Thursday
16351,CSMT- NCJ EX,CST-MUMBAI,NAGERCOIL JN.,Saturday
16381,KANYAKUMARI,CST-MUMBAI,KANNIYAKUMARI,Thursday
17031,MUMBAI CSMT-,CST-MUMBAI,HYDERABAD DECCAN,Friday
17057,CSMT-SC DEVA,CST-MUMBAI,SECUNDERABAD JN.,Sunday
17411,MAHALAXMI EX,CST-MUMBAI,CHHATRAPATI SHAHU MAHARAJ TERMINUS,Tuesday
17617,CSMT-NED TAP,CST-MUMBAI,NANDED,Sunday
22101,CSMT-MMR RAJ,CST-MUMBAI,MANMAD JN.,Friday
22105,INDRAYANI EX,CST-MUMBAI,PUNE JN.,Wednesday
22119,CSTM-KRMI TE,CST-MUMBAI,KARMALI,Sunday
22143,CSMT-BIDAR E,CST-MUMBAI,BIDAR,Saturday
51027,FAST PASSENG,CST-MUMBAI,PANDHARPUR,Saturday
51029,BB BJP FAST,CST-MUMBAI,BIJAPUR JN,Thursday
51153,MUMBAI BSL P,CST-MUMBAI,BHUSAVAL JN.,Sunday
91393,WAD1,CST-MUMBAI,RAVLI JN,Wednesday
91395,WAD3,CST-MUMBAI,RAVLI JN,Tuesday
91491,WBO1,CST-MUMBAI,RAVLI JN,Thursday
95701,K1,CST-MUMBAI,KALYAN JN,Tuesday
95703,K11,CST-MUMBAI,KALYAN JN,Wednesday
95705,K19,CST-MUMBAI,KALYAN JN,Tuesday
95707,K21,CST-MUMBAI,KALYAN JN,Wednesday
95709,K27,CST-MUMBAI,KALYAN JN,Wednesday
95711,K33,CST-MUMBAI,KALYAN JN,Tuesday
95715,K41,CST-MUMBAI,KALYAN JN,Tuesday
95717,K53,CST-MUMBAI,KALYAN JN,Saturday
95719,K73,CST-MUMBAI,KALYAN JN,Friday
95721,KW1,CST-MUMBAI,KALYAN JN,Wednesday
95727,K89,CST-MUMBAI,KALYAN JN,Sunday
95731,K95,CST-MUMBAI,KALYAN JN,Wednesday
95733,K101,CST-MUMBAI,KALYAN JN,Friday
