Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days
107,SWV-MAO-VLNK,SAWANTWADI ROAD,MADGOAN JN.,Saturday
401,BSB BHARATDA,AURANGABAD,VARANASI JN.,Saturday
1196,NGP-KRMI SPL,NAGPUR JN.(CR),KARMALI,Saturday
1706,JBP-BDTS SF,JABALPUR,BANDRA TERMINUS,Saturday
2834,SRC-RJT SF A,SANTRAGACHI JN.,RAJKOT,Saturday
3305,DHN-KUSUNDA,DHANBAD JN.,KUSUNDA,Saturday
3502,ANVT-JSME BI,ANAND VIHAR TERMINAL,JASIDIH JN.,Saturday
4802,MKN PBC PASS,MAKRANA JN.,PARVATSAR CITY,Saturday
5066,LJN-CPR-EXP,LUCKNOW JN.,CHHAPRA JN.,Saturday
5306,FBD- CPA EXP,FARRUKHABAD JN,KANPUR ANWARGANJ,Saturday
5521,JMP-SHC SPEC,JAMALPUR JN.,SAHARSA JN.,Saturday
5719,KIR - SGUJ D,KATIHAR JN.,SILIGURI JN.,Saturday
5863,RNY - RPAN P,RANGIYA JN.,RANGAPARA NORTH,Saturday
5864,RPAN - RNY P,RANGAPARA NORTH,RANGIYA JN.,Saturday
6043,MAS-QLN SPL,CHENNAI CENTRAL,QUILON,Saturday
6053,KCVL-MAJN S/,KOCHUVELI,MANGALORE JN,Saturday
6068,CBE-CGL TRI-,COIMBATORE JN.,CHENGALPATTU,Saturday
6594,BYPL-WFD DEM,BAIYYAPPANAHALLI,WHITE FIELD,Saturday
6595,YPR-CBP PASS,YESVANTPUR JN.,DEVANHALLI,Saturday
6919,UBL-BJP SPL,HUBLI JN.,BIJAPUR JN,Saturday
7006,RXL-HYB,RAXAUL JN.,HYDERABAD DECCAN,Saturday
7016,KCG-VSKP,KACHEGUDA,VISAKHAPATNAM,Saturday
7134,QLN-GNT-HYB,QUILON,HYDERABAD DECCAN,Saturday
7410,TPTY-AK,TIRUPATI,AURANGABAD,Saturday
7425,KCG--COA HSP,KACHEGUDA,KAKINADA PORT,Saturday
7436,SC-COA,SECUNDERABAD JN.,KAKINADA TOWN,Saturday
7607,NED-TPTY HOL,NANDED,TIRUPATI,Saturday
8035,BLS - KGP DE,KHARAGPUR,BALASORE,Saturday
8052,JGM KGP MEMU,JHARGRAM,KHARAGPUR,Saturday
8627,HWH RNC SPL,HOWRAH JN.,RANCHI,Saturday
9003,BDTS NZM  SF,BANDRA TERMINUS,HAZRAT NIZAMUDDIN JN,Saturday
9622,BDTS AII SF,BANDRA TERMINUS,AJMER JN.,Saturday
9809,KOTA-NZM DAI,KOTA,HAZRAT NIZAMUDDIN JN,Saturday
10112,KONKAN KANYA,MADGOAN JN.,CST-MUMBAI,Saturday
11005,DR-PDY EXPRE,DADAR,PONDICHERRY,Saturday
11006,CHALUKYA EXP,PONDICHERRY,DADAR,Saturday
11015,KUSHINAGAR E,LOKMANYA TILAK TERMINUS,GORAKHPUR JN.,Saturday
11021,DR-TEN EXPRE,DADAR,TIRUNELVELI JN,Saturday
11022,TEN - DR EXP,TIRUNELVELI JN,DADAR,Saturday
11026,PUNE-BSL EXP,PUNE JN.,BHUSAVAL JN.,Saturday
11031,SUR-BJP EPXR,SOLAPUR,BIJAPUR JN,Saturday
11042,MAS-CSMT MUM,CHENNAI CENTRAL,CST-MUMBAI,Saturday
11049,ADI-KOP EXPR,AHMEDABAD,CHHATRAPATI SHAHU MAHARAJ TERMINUS,Saturday
11050,KOP-ADI EXPR,CHHATRAPATI SHAHU MAHARAJ TERMINUS,AHMEDABAD,Saturday
11067,SAKET EXPRES,LOKMANYA TILAK TERMINUS,FAIZABAD JN.,Saturday
11072,KAMAYANI EXP,VARANASI JN.,LOKMANYA TILAK TERMINUS,Saturday
11078,JHELUM EXPRE,JAMMU TAWI,PUNE JN.,Saturday
11079,LTT-GKP EXPR,LOKMANYA TILAK TERMINUS,GORAKHPUR JN.,Saturday
11086,MAO-LTT DOUB,MADGOAN JN.,LOKMANYA TILAK TERMINUS,Saturday
11097,POORNA EXPRE,PUNE JN.,ERNAKULAM. JN,Saturday
11304,KOP-HYB EXPR,CHHATRAPATI SHAHU MAHARAJ TERMINUS,HYDERABAD DECCAN,Saturday
11404,KOP-NGP EXPR,CHHATRAPATI SHAHU MAHARAJ TERMINUS,NAGPUR JN.(CR),Saturday
11408,LJN-PUNE EXP,LUCKNOW JN.,PUNE JN.,Saturday
11704,INDB-REWA EX,MHOW,REWA,Saturday
